"Name","id","Last Updated","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Notes","Sub-Category","Zipcode","Created time","Status","Source","Hours","Pickup Offered","Delivery Offered","Delivery/Pickup Notes","MWBE","Instagram","Donate","Email","Outside Seating Offered","Type of Service","Special Accommodation Hours","Black Owned Business"
"Snow White Laundry",652,,"(718) 478-3480",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.744348,-73.915436,"49-02 43rd Ave, Flushing, NY 11377","
",,"11377","2020-05-29T17:32:14.000Z","Open",,"Open daily 8am-6pm - 
",,,,,,,,,,,
"64 Woodside Laundromat",653,"2020-04-16T04:00:00.000Z","(718) 505-1217",,"Woodside","Laundromat & Cleaners",40.743611,-73.900278,"6414 Woodside Ave, Woodside","Call for hours
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,
"Quality Laundrette",654,"2020-05-05T04:00:00.000Z","(917) 669-7571",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7461623,-73.9134667,"50-21 Skillman Ave, Flushing","Call 917-669-7571
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,
"50-02 Laundromat",655,"2020-04-16T04:00:00.000Z",,,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.74597,-73.914185,"50-02 Skillman Ave, Flushing","Open, hours uncertain - Call to confirm (718) 440-2930
",,"11377","2020-05-29T17:32:14.000Z","Follow-up",,,,,,,,,,,,,
"H Laundromat",656,,,,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.742093,-73.925094,,"
",,"11104","2020-05-29T17:32:14.000Z","Closed",,,,,,,,,,,,,
"Sunnyside Laundromat",657,,"(718) 729-2077",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.740121,-73.925418,"3937 48th Ave, Sunnyside","
",,"11104","2020-05-29T17:32:14.000Z","Closed",,,,,,,,,,,,,
"14th Laundry",658,"2020-06-24T04:00:00.000Z","(718) 726-0724","http://14thlaundry.com/","Long Island City","Laundromat & Cleaners",40.769143,-73.931045,"30-67 14th Street, Long Island City, NY 11361","
","Laundromat","11102","2020-05-29T17:32:14.000Z","Open","http://14thlaundry.com/","7am-9pm daily	
",,"Yes",,,,,,,,,
"Lemon Laundry",659,"2020-04-12T04:00:00.000Z","(917) 832-7407","http://www.lemonlaundromat.com/","Woodside","Laundromat & Cleaners",40.747444,-73.903109,"60-11 39th Ave, Queens","9am-5pm daily, drop-off only, wash and dry only (no folding) <http://lemonlaundromat.com>
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Eleven Laundromat",660,"2020-04-16T04:00:00.000Z",,,"Woodside","Laundromat & Cleaners",40.744034,-73.906844,"41-19 58th St, Woodside","Closed at this time
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Woodside Laundromat",663,"2020-04-28T04:00:00.000Z","(718) 396-1001",,"Woodside","Laundromat & Cleaners",40.747044,-73.902548,"6104 39th Ave, Flushing","Open until 6pm Call first 718-396-1001
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"A & A Cleaners & Laundry",669,"2020-05-04T04:00:00.000Z","(718) 651-6332",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7461931,-73.9130397,"51-5 Skillman Ave, Woodside","Call 718-651-6332 | 51-5 Skillman Ave Woodside
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Bands Cleaners",670,"2020-05-06T04:00:00.000Z","(718) 392-6342",,"Hunters Point-Sunnyside-West Maspeth","Laundromat & Cleaners",40.7448317,-73.9187583,"45-14 43rd Ave, Sunnyside","Call 718-392-6342 Mon-Sat 9AM-6PM
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Parrot Coffee & Grocery",676,"2020-04-11T04:00:00.000Z","(718) 392-4515","http://parrotcoffee.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.743501,-73.918809,"4515 Queens Blvd, Sunnyside","8am-10pm Daily, Groceries & prepared food 718-392-4515  [www.parrotcoffee.com/][1]

  [1]: http://www.parrotcoffee.com/
","Supermarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sunnyside Gardens Market",682,"2020-04-13T04:00:00.000Z","(718) 937-9301",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746695,-73.917809,"46-01 Skillman Ave, Sunnyside","7am-1am daily, Call ahead 718-937-9301 (not open 24 hrs at this time)
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Natural 7",683,,,,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743619,-73.919249,,"Pickup Only 718-478-8880
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sunnyside Fish Market",684,"2020-04-13T04:00:00.000Z","(718) 392-3316",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743614,-73.919939,"2405 4415, Queens Blvd, Long Island City","718-392-3316 TAKEOUT
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Turkiyem Market",685,"2020-04-13T04:00:00.000Z","(718) 937-3456",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746626,-73.917182,"46-31 Skillman Ave, Long Island City","718-937-2456 TAKEOUT & DELIVERY / Now offering free grocery packages & delivery for the elderly 70 years and older. Please visit or call to inquire.
","convenience_store,Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Butcher Block",686,"2020-05-11T04:00:00.000Z","(718) 784-1078",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.744206,-73.923418,"43-46 41st St, Queens","Daily until 7pm TAKEOUT & DELIVERY call ahead 718-205-4299 / grocery market butcher beer prepared foods & imported Irish & British Isles products / msg: ""We will now close at 7 pm every evening. This will allow for restocking of shelves and for added cleaning and sanitation efforts, which will continue throughout the day. We are thankful to be able to continue to serve our community and are grateful to our customers who continue to support us.""
","restaurant,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Green Valley Marketplace",687,"2020-04-14T04:00:00.000Z","(718) 752-1931","http://greenvalleymarketplace.instacart.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.740022,-73.923633,"44-07 Greenpoint Ave, Sunnyside","718-205-4299 TAKEOUT & ONLINE SHOPPING FOR DELIVERY with Instacart <https://greenvalleymarketplace.instacart.com/> Updates [www.instagram.com/p/B-IZDyrDQIr/][1] (and HIRING cashiers and deli clerks; call or visit to apply) Grocery Market Produce Beer Deli

  [1]: http://www.instagram.com/p/B-IZDyrDQIr/
","Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Go Natural Health Food & Juice Bar",688,"2020-04-14T04:00:00.000Z","(718) 482-0008",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743556,-73.919334,"45-03 Queens Blvd, Sunnyside","temporarily closed will REOPEN on Sun 4/19 Call & 718-482-0008  Updates  <https://www.instagram.com/p/B-xRR57jdqR/>
","food,health","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"La Adelita de Woodside",689,"2020-04-16T04:00:00.000Z","(917) 396-1295","www.facebook.com/LaAdelitanyc","Woodside","Groceries",40.744888,-73.910762,"5321 Roosevelt Ave, Woodside","Rancheros Eggs, Tamales
","bakery,restaurant,food","11377","2020-05-29T17:32:14.000Z",,,,"Yes (Call ahead)","Yes (Call for delivery)"," (917) 396-1235 
",,,,,,,,
"La Vienesa Bakery",691,"2020-05-18T04:00:00.000Z","(718) 786-2924",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.743542,-73.924636,"39-44 Queens Blvd, Sunnyside","7am-4pm pickup & takeout  718-786-2924 | 39-44 Queens Blvd Sunnyside [www.instagram.com/p/CAT0hm3jjRM/][1]

  [1]: http://www.instagram.com/p/CAT0hm3jjRM/
","bakery,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sunnyside Deli",692,,"(718) 429-0280",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.748633,-73.913278,"5012 39th Ave, Flushing","[CLOSED at this time]
","food","11377","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,
"Mary's Deli Grocery",693,"2020-04-16T04:00:00.000Z","(718) 651-5577",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746173,-73.912492,"51-19 Skillman Ave, Flushing","Currently open 7am to 9 or 10pm 

","Deli","11377","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,
"Sunnyside Mini Mart",694,"2020-04-16T04:00:00.000Z",,,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.746192,-73.916041,,"
",,"11104","2020-05-29T17:32:14.000Z","Open",,"Open daily 8am-2am
",,,,,,,,,,,
"Fresh N Save",695,"2020-05-05T04:00:00.000Z","(718) 651-9720","http://www.keyfood.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.745828,-73.913725,"50-18 Skillman Ave, Woodside","OPEN 24 HOURS Call (718) 651-9720
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Food Bazaar",696,"2020-04-16T04:00:00.000Z","(347) 448-8860","http://www.foodbazaar.com/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.752376,-73.921264,"42-02 Northern Blvd, Long Island City","Open daily 7am-8am for Seniors only and daily 8am-8:30pm for all. Grocery Market Prepared Food Beer UPDATES [www.instagram.com/foodbazaarsupermarkets/][1] DELIVERY  [www.instacart.com/food-bazaar][2] HIRING! [www.foodbazaar.com/contact/employment-application][3]

  [1]: http://www.instagram.com/foodbazaarsupermarkets/
  [2]: http://www.instacart.com/food-bazaar
  [3]: http://www.foodbazaar.com/contact/employment-application
","Supermarket","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Key Food @ Sunnyside Arch",697,"2020-04-16T04:00:00.000Z","(718) 706-6563","http://www.keyfood.com/pd/stores/NY/Sunnyside/Key-Food-1448/2D771264","Hunters Point-Sunnyside-West Maspeth","Groceries",40.742775,-73.918556,"4602 Queens Blvd, Sunnyside","OPEN DAILY/24HRS Grocery Market Prepared Food Produce Beer Deli - (718) 706-6563
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sunnyside Greenmarket",698,"2020-04-16T04:00:00.000Z","(212) 788-7900","https://www.grownyc.org/greenmarket/queens/sunnyside","Hunters Point-Sunnyside-West Maspeth","Groceries",40.747098,-73.921067,"Skillman Ave btwn 42nd &, 43rd Ave, Sunnyside","Saturdays 8am-3pm Check for weekly updates  at [www.grownyc.org/blog/schedule-changes][1] [All food scrap drop-off and clothing collection sites in NYC are closed until further notice]

  [1]: http://www.grownyc.org/blog/schedule-changes
","Greenmarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Taiyo Foods",699,"2020-04-16T04:00:00.000Z","(718) 392-2233","http://www.taiyonyc.com/index.php?route=common/home","Hunters Point-Sunnyside-West Maspeth","Groceries",40.741506,-73.921176,"45-08 44th St, Sunnyside","Daily 9am-6pm - Call to confirm (718) 205-4299 [www.taiyonyc.com][1]  <https://www.facebook.com/TAIYO.FOODS.SUNNYSIDE/>

  [1]: http://www.taiyonyc.com
",,"11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Sunny Grocery",700,"2020-04-16T04:00:00.000Z","(718) 937-6256","http://www.sunnygrocery.net/","Hunters Point-Sunnyside-West Maspeth","Groceries",40.744806,-73.9185,"45-26 43rd Ave, Sunnyside","Daily 7am-9pm Fresh fruit & vegetables, meat & dairy, Turkish sucuk, pastirma, Anatolian cheese, coffee, bread & sweets [www.sunnygrocery.net][1]

  [1]: http://www.sunnygrocery.net
","Supermarket","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"H Mart | 한아름",701,"2020-04-16T04:00:00.000Z","(718) 446-0759","http://www.hmart.com/","Woodside","Groceries",40.745036,-73.904906,"59-18 Woodside Ave, Woodside","OPEN DAILY/24HRS For updates (and recipes!) visit [www.instagram.com/hmartofficial/][1] or call (718) 446-0759

  [1]: http://www.instagram.com/hmartofficial/
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Woodside Deli",703,"2020-04-16T04:00:00.000Z","(718) 533-0153",,"Woodside","Groceries",40.74928,-73.909669,"38-45 Woodside Ave, Woodside","Daily 9am-9pm  - Call to confirm (718) 533-0153
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Woodside Candy Store",704,"2020-04-16T04:00:00.000Z","(718) 505-9271",,"Woodside","Groceries",40.744921,-73.904285,"6006 Woodside Ave, Queens","Open! Call first to confirm (718) 505-9271
","Candy","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Natural 7",705,"2020-04-16T04:00:00.000Z","(718) 478-8880",,"Woodside","Groceries",40.745152,-73.90377,"3986 61st St, Woodside","9am-closes at 6pm maybe 7/8pm, Call to confirm (718) 478-8880
","health","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"C & J Prime Meat Market",706,"2020-04-16T04:00:00.000Z","(718) 457-7343","http://www.cjprimemeats.com/","Woodside","Groceries",40.745596,-73.905062,"Queens","Call for hours (718) 457-7343
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Woodside Grocery",707,"2020-04-16T04:00:00.000Z","(718) 672-6135",,"Woodside","Groceries",40.745122,-73.903481,"3971 61st St, Queens","Open daily - call for hours (718) 672-6135
",,"11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Ctown Roosevelt",708,"2020-04-16T04:00:00.000Z","(718) 476-2352","https://locations.ctownsupermarkets.com/ctown-supermarkets-567e64e8663c?utm_source=Google&utm_medium=organic&utm_campaign=Yext","Woodside","Groceries",40.745631,-73.904839,"59-15 Roosevelt Ave, Queens","Daily, 7am-12pm Grocery Market Prepared Food Beer - (718) 482-9840
","Supermarket","11377","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"United Brothers Fruit Markets",709,,"(718) 932-9876","http://www.unitedbrothersfruitmarkets.com/","Astoria","Groceries",40.766087,-73.920082,"32-24 30th Ave, Astoria","Open, call for hours 718-932-9876
",,"11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Key Food Supermarket",710,,"(718) 545-4082",,"Astoria","Groceries",40.762944,-73.912603,"42-15 30th Ave, Astoria","Call for hours, 718-545-4082 Grocery / Market
","Supermarket","11103","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"D & F Italian Deli",711,"2020-04-18T04:00:00.000Z",,,"Astoria","Groceries",40.760354,-73.921456,"36-1 Broadway, Astoria","Delivery & Takeout Hours 7:30AM-6PM, Call (718) 728-2422 for pickup, or order delivery through Uber Eats, DoorDash, Postmates, Grubhub, and Seamless, They also sell imported Italian products, TV dinners, and other goods throughout the store. [www.dandfitaliandeli.com][1]

  [1]: http://www.dandfitaliandeli.com
","Deli","11106","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Titan Foods",712,"2020-04-23T04:00:00.000Z","(718) 626-7771","https://www.titanfoods.net/","Old Astoria","Groceries",40.769207,-73.919461,"2556 31st St, Astoria","Takeout Hours 8am -9pm, Call (718) 626-7771  <https://www.titanfoods.net/>
","Supermarket","11102","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Ctown Greenpoint Ave",713,"2020-04-13T04:00:00.000Z","(718) 482-9840","https://locations.ctownsupermarkets.com/ctown-supermarkets-d936963e6c68?utm_source=Google&utm_medium=organic&utm_campaign=Yext","Hunters Point-Sunnyside-West Maspeth","Groceries",40.740614,-73.92329,"41-25 Greenpoint Ave, Queens","7am-8pm daily 718-482-9840
","Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Food Universe Marketplace",714,,"(718) 392-2559","http://www.keyfood.com/pd/stores/NY/Sunnyside/Food-Universe-1804/B2D3127594","Hunters Point-Sunnyside-West Maspeth","Groceries",40.745278,-73.92,"4407 43rd Ave, Sunnyside","Open daily, 6am-10pm 718-392-2559 Grocery Market Beer Deli
","Supermarket,food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Stars Deli",715,,"(718) 784-1926",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.74205,-73.925748,"3919 47th Ave, Sunnyside","[Closed at this time]
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Stop & Shop (48TH St)",716,,"(718) 728-7724","https://stores.stopandshop.com/ny/long-island-city/34-51-48th-street","Hunters Point-Sunnyside-West Maspeth","Groceries",40.751639,-73.914943,"34-51 48th St, Queens","Daily until 8pm, 6:00-7:30am for Seniors only [grocery market beer produce deli prepared food] Info <https://stores.stopandshop.com/ny/long-island-city/34-51-48th-street>
","food","11101","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"New Bangla Bazzar & Grocery",717,"2020-05-06T04:00:00.000Z","(718) 729-3744",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.744956,-73.91989,"4410 43rd Ave, Sunnyside","Call (718) 729-3744 Open daily from 10:30AM-10PM
","food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Juice 'n Beatz",737,"2020-04-21T04:00:00.000Z","(718) 406-9091","http://juice-n-beatz.business.site/","Woodside","Groceries",40.753465,-73.907003,"5317b Broadway, Woodside","Open 24/7  <https://www.yelp.com/covid_19_update/juice-n-beatz-woodside>
","food","11377","2020-05-29T17:32:14.000Z","Open",,"24/7
",,,,true,,,,,,,
"3 Aunties Thai Market",738,"2020-04-21T04:00:00.000Z","(718) 606-2523","https://3auntiesthaimarket.com/","Woodside","Groceries",40.746299,-73.899713,"64-04 39th Ave","Call for hours 718-606-2523 [www.yelp.com/biz/3-aunties-thai-market-woodside][1]

  [1]: http://www.yelp.com/biz/3-aunties-thai-market-woodside
","food","11377","2020-05-29T17:32:14.000Z","Open",,,,,,,,,,,,,
"Choice Farm Inc",752,"2020-04-23T04:00:00.000Z","(718) 482-9431",,"Hunters Point-Sunnyside-West Maspeth","Groceries",40.742582,-73.918931,"4520 46th St, Sunnyside",,"food","11104","2020-05-29T17:32:14.000Z",,,,,,,,,,,,,,
"Phil-Am Food Mart",771,"2020-06-13T04:00:00.000Z","(718) 899-1797","http://phil-amfoodmart.com/","Woodside","Groceries",40.746215,-73.895266,"4003 70th St, Queens","Thu-Tues 9:30am-5pm (Closed Wed) 
","Supermarket,food,Asian,Filipino","11377","2020-05-29T17:32:14.000Z","Open",,,,,,true,"www.instagram.com/philamfoodmart",,,,,,
"Woodside Deli",785,,"(718) 301-0693",,"Woodside","Groceries",40.756806,-73.906898,"54-12 31st Ave, Woodside","
","Deli","11377","2020-05-29T17:32:14.000Z","Open",,,"Yes","No",,,,,,,,,
"Baker House Market",786,,"(718) 472-2450","https://www.bakerhousemarket.com/","Queensbridge-Ravenswood-Long Island City","Groceries",40.75195,-73.93907,"41-07 Crescent St, Long Island City","
",,"11101","2020-05-29T17:32:14.000Z","Open",,,"Yes",,,,,,,,,,
"Bravo Supermarkets",787,,"(347) 649-1471","http://www.bravofreshmarket.com/","Astoria","Groceries",40.761241,-73.931217,"24-18 34th Ave, Long Island City","
","Supermarket,food","11106","2020-05-29T17:32:14.000Z","Open",,,"Yes",,,,,,,,,,
"Bridge Gourmet Market",788,,"(718) 433-4082","https://bridgegourmet.business.site/","Queensbridge-Ravenswood-Long Island City","Groceries",40.751825,-73.940915,"23-01 Queens Plaza North 24th St. Corner, Long Island City","
","meal_takeaway,cafe,restaurant,food","11101","2020-05-29T17:32:14.000Z","Open",,,"Yes","No",,,,,,,,,
